x,y
264.7,466.6
264.7,466.7
264.8,466.7
264.8,466.8
264.8,466.9
264.7,466.9
264.7,467
264.7,467.1
264.7,467.2
264.7,467.3
264.7,467.4
264.7,467.5
264.8,467.5
264.8,467.6
264.9,467.7
264.9,467.8
264.9,467.9
264.9,468
264.9,468.1
264.9,468.2
264.9,468.3
264.9,468.4
264.9,468.5
265,468.5
265,468.6
265.1,468.7
265.1,468.8
265.2,468.9
265.2,469
265.2,469.1
265.3,469.1
265.3,469.2
265.3,469.3
265.3,469.4
265.3,469.5
265.3,469.6
265.3,469.7
265.3,469.9
265.3,470
265.3,470.1
265.3,470.2
265.3,470.3
265.3,470.4
265.3,470.5
265.2,470.6
265.2,470.7
265.1,470.7
265.1,470.8
265.2,470.9
265.2,471
265.2,471.1
265.2,471.2
265.2,471.3
265.2,471.4
265.2,471.5
265.3,471.5
265.3,471.4
265.4,471.4
265.5,471.4
265.5,471.5
265.5,471.6
265.5,471.7
265.4,471.7
265.4,471.8
265.3,471.8
265.3,471.9
265.2,472
265.1,472
265.1,472.1
265,472.1
264.9,472.1
264.8,472.1
264.7,472.1
264.7,472.2
264.6,472.2
264.6,472.3
264.5,472.3
264.5,472.4
264.4,472.4
264.4,472.5
264.3,472.6
264.4,472.7
264.3,472.8
264.3,472.9
264.3,473
264.3,473.1
264.4,473.1
264.3,473.2
264.3,473.3
264.2,473.3
264.2,473.4
264.1,473.5
264.1,473.6
264,473.6
264,473.7
263.9,473.7
263.9,473.8
263.8,473.8
263.8,473.9
263.8,474
263.7,474
263.6,474.1
263.5,474.1
263.5,474.2
263.4,474.3
263.3,474.4
263.3,474.5
263.2,474.5
263.1,474.5
263,474.5
262.9,474.5
262.8,474.5
262.7,474.5
262.7,474.4
262.6,474.4
262.5,474.4
262.4,474.4
262.4,474.5
262.3,474.5
262.2,474.5
262.1,474.5
262.1,474.6
262,474.6
262,474.7
262,474.8
262,474.9
261.9,474.9
261.9,475
261.8,475
261.8,475.1
261.7,475.1
261.7,475.2
261.6,475.2
261.5,475.2
261.4,475.2
261.3,475.2
261.3,475.3
261.3,475.4
261.3,475.5
261.2,475.5
261.2,475.6
261.2,475.7
261.2,475.8
261.2,475.9
261.1,475.9
261,475.9
260.9,475.9
260.9,475.8
260.8,475.8
260.8,475.9
260.7,475.9
260.6,475.9
260.5,475.9
260.5,476
260.4,476
260.3,476
260.3,475.9
260.3,475.8
260.3,475.7
260.3,475.6
260.2,475.6
260.2,475.5
260.1,475.5
260.1,475.4
260,475.4
259.9,475.4
259.8,475.4
259.7,475.4
259.6,475.4
259.5,475.4
259.4,475.4
259.4,475.3
259.3,475.3
259.2,475.3
259.2,475.2
259.1,475.2
259,475.2
